intent,prompt
MEANING_OF_LIFE,i'd like to me told the meaning of life
MEANING_OF_LIFE,do you know the meaning of life
MEANING_OF_LIFE,say what the meaning of life is
MEANING_OF_LIFE,can you tell me life's meaning
MEANING_OF_LIFE,what's the meaning of my life
MEANING_OF_LIFE,what is the underlying purpose to life
MEANING_OF_LIFE,what do you think about the meaning of life
MEANING_OF_LIFE,what is life’s meaning
MEANING_OF_LIFE,help me figure out the meaning of life
MEANING_OF_LIFE,"would you tell me the meaning of life, please"
MEANING_OF_LIFE,"could you tell me the meaning of life, please"
MEANING_OF_LIFE,can you tell me the meaning of life
MEANING_OF_LIFE,could you tell me the meaning of life
MEANING_OF_LIFE,"can you tell me the meaning of life, please"
MEANING_OF_LIFE,what does life mean to you
MEANING_OF_LIFE,is there really a meaning of life
MEANING_OF_LIFE,is there any meaning to being alive
MEANING_OF_LIFE,what is the meaning of my life
MEANING_OF_LIFE,what is the point of life
MEANING_OF_LIFE,what's the point of everything
MEANING_OF_LIFE,is there a meaning to life
MEANING_OF_LIFE,why are we here in life
MEANING_OF_LIFE,can you share the meaning of life
MEANING_OF_LIFE,research the meaning of life
MEANING_OF_LIFE,can you tell me what you think the meaning of life is
MEANING_OF_LIFE,what is our purpose here on earth
MEANING_OF_LIFE,is love the meaning of life
MEANING_OF_LIFE,is there a reason people exist
MEANING_OF_LIFE,what is the secret or meaning to life
MEANING_OF_LIFE,what does life mean on a deeper level
MEANING_OF_LIFE,how would you put what life is all about
MEANING_OF_LIFE,how would you describe what life means
MEANING_OF_LIFE,what do people say life means or the meaning is
MEANING_OF_LIFE,life has what meaning or what's the secret to it
MEANING_OF_LIFE,where is there meaning in life
MEANING_OF_LIFE,what is the meaning of this life
MEANING_OF_LIFE,do you know what the meaning of life is
MEANING_OF_LIFE,what's life's meaning
MEANING_OF_LIFE,"does life have a meaning, according to you"
MEANING_OF_LIFE,does this life have a meaning
MEANING_OF_LIFE,can you share with me your interpretation of the meaning of life
MEANING_OF_LIFE,what do you think is the meaning of life
MEANING_OF_LIFE,is there a meaning in life
MEANING_OF_LIFE,i wonder if you can explain the meaning of life
MEANING_OF_LIFE,"i always wonder about the meaning of life, can you tell me"
MEANING_OF_LIFE,what's my meaning in life
MEANING_OF_LIFE,define the meaning of life
MEANING_OF_LIFE,meaning of life is
MEANING_OF_LIFE,what is your perception of the meaning of life
MEANING_OF_LIFE,whats the meaning of life
MEANING_OF_LIFE,what do you think the meaning of life is
MEANING_OF_LIFE,what is behind life's meaning
REPEAT,i didn't hear you please repeat
REPEAT,please repeat
REPEAT,i want you to repeat that
REPEAT,one more time please
REPEAT,i need you to repeat that
REPEAT,i need you to please repeat that
REPEAT,one more time for me please
REPEAT,i would like that repeated
REPEAT,just another time please
REPEAT,say it again please
REPEAT,i must have you repeat that
REPEAT,say it again
REPEAT,i need that repeated
REPEAT,just one more time
REPEAT,i want to have that repeated for me
REPEAT,i want that repeated
